172,0.5823
449,1.1950
726,2.1759
1003,3.0976
1281,3.9417
1558,4.7177
1835,5.4083
2113,6.0341
2390,6.6239
2668,7.1566
2945,7.6374
3222,8.0697
3499,8.4706
3776,8.8522
4053,9.2161
4330,9.5900
4607,9.9697
4885,10.3408
5162,10.6786
5440,10.9844
5718,11.2625
5995,11.5210
6272,11.7616
6549,12.0042
6826,12.2451
7103,12.4870
7381,12.7259
7658,12.9813
7935,13.2396
8211,13.4855
8487,13.7121
8763,13.9200
9040,14.1107
9316,14.3130
9593,14.6306
9869,15.0143
10145,15.3865
10421,15.7314
10697,16.0622
10973,16.3945
11249,16.7102
11525,17.0066
11801,17.3073
12078,17.6091
12355,17.9768
12632,18.3265
12908,18.6542
13185,18.9667
13462,19.2849
13739,19.6096
14016,19.9505
14294,20.3134
14571,20.7346
14848,21.2062
15124,21.8325
15400,22.4725
15677,23.0595
15945,23.5895
15853,23.5760
15572,21.9029
15291,20.1420
15011,18.7167
14730,17.5604
14450,16.5981
14169,15.7557
13889,15.0100
13609,14.3978
13328,13.9062
13047,13.4764
12767,13.0910
12486,12.7376
12205,12.4034
11924,12.0687
11644,11.7170
11363,11.3633
11083,11.0163
10802,10.7005
10522,10.4066
10241,10.1389
9961,9.8846
9680,9.6378
9399,9.3972
9118,9.1673
8838,8.9317
8557,8.6832
8277,8.4239
7997,8.1715
7717,7.9279
7437,7.6934
7157,7.4652
6877,7.2440
6597,7.0200
6317,6.7984
6037,6.5816
5757,6.3582
5477,6.1179
5197,5.8572
4917,5.5800
4637,5.2801
4357,4.9684
4077,4.6502
3797,4.3361
3517,4.0209
3237,3.6986
2957,3.3745
2677,3.0359
2397,2.6690
2117,2.2600
1837,1.8047
1557,1.3162
1277,0.7985
996,0.3510
717,0.4532
438,0.5117
158,0.5228
